timestamp,symbol,quantity,closing,volume
2019-05-09,AAPL,9.0,200.72,34850274
2019-05-09,FB,10.0,188.65,12954756
2019-05-10,MSFT,15.0,127.13,30878641
2019-05-10,FB,10.0,188.34,12575014
2019-05-13,MSFT,16.0,123.35,33927407
2019-05-13,GOOG,1.0,1132.03,1860514
2019-05-14,MSFT,16.0,124.73,25266315
2019-05-14,AMZN,1.0,1840.12,4628867
2019-05-15,AAPL,10.0,190.92,26530647
2019-05-15,MSFT,15.0,126.02,24720706
2019-05-16,GOOG,1.0,1178.98,1531197
2019-05-16,NFLX,5.0,359.31,6439698
2019-05-17,MSFT,15.0,128.07,25766249
2019-05-17,GOOG,1.0,1162.3,1208613
2019-05-20,AAPL,10.0,183.09,38508100
2019-05-20,FB,10.0,182.72,10351981
2019-05-21,FB,10.0,184.82,7502680
2019-05-21,AMZN,1.0,1857.52,4005122
2019-05-22,NFLX,5.0,359.73,6229389
2019-05-22,AAPL,10.0,182.78,29695380
2019-05-23,MSFT,15.0,126.18,23603784
2019-05-23,NFLX,5.0,352.21,5630253
2019-05-24,GOOG,1.0,1133.47,1112341
2019-05-24,MSFT,15.0,126.24,14120781
2019-05-28,NFLX,5.0,354.78,4717144
2019-05-28,MSFT,15.0,126.16,23121283
2019-05-29,FB,10.0,182.19,12797281
2019-05-29,AMZN,1.0,1819.19,4279025
2019-05-30,AAPL,11.0,178.3,20951416
2019-05-30,AMZN,1.0,1816.32,3145887
2019-05-31,MSFT,16.0,123.68,26645625
2019-05-31,NFLX,5.0,343.28,5023131
2019-06-03,GOOG,1.0,1036.23,5128177
2019-06-03,MSFT,16.0,119.84,37951394
2019-06-04,AAPL,11.0,179.64,32548584
2019-06-04,NFLX,5.0,353.4,7882205
2019-06-05,NFLX,5.0,355.73,5016022
2019-06-05,AAPL,10.0,182.54,29758329
2019-06-06,MSFT,15.0,127.82,21458961
2019-06-06,FB,11.0,168.33,12446354
2019-06-07,AAPL,10.0,190.15,30684393
2019-06-07,MSFT,15.0,131.4,33581924
2019-06-10,AMZN,1.0,1860.63,5367599
2019-06-10,AAPL,10.0,192.58,26162532
2019-06-11,AMZN,1.0,1863.7,4041950
2019-06-11,GOOG,1.0,1078.72,1437063
2019-06-12,AAPL,10.0,194.19,18249271
2019-06-12,FB,11.0,175.04,17695835
2019-06-13,AAPL,10.0,194.15,21645288
2019-06-13,AMZN,1.0,1870.3,2794605
2019-06-14,FB,11.0,181.33,16582006
2019-06-14,GOOG,1.0,1085.35,1111643
2019-06-17,AAPL,10.0,193.89,14667207
2019-06-17,FB,10.0,189.01,29388908
2019-06-18,NFLX,5.0,357.12,5428225
2019-06-18,FB,10.0,188.47,37567873
2019-06-19,AAPL,10.0,197.87,21119045
2019-06-19,MSFT,14.0,135.69,23744441
2019-06-20,MSFT,14.0,136.95,33018730
2019-06-20,NFLX,5.0,365.21,5896347
2019-06-21,NFLX,5.0,369.21,7447050
2019-06-21,MSFT,14.0,136.97,36721786
2019-06-24,FB,10.0,192.6,15499608
